Store-Store Name,Superseded Part Number,Part Number,Description,Supp Code,Category,Bin Location 1,Min,Max,On Hand ,Total Cost,Total Price,Margin %,Set Up Date MM,Last Sold Date MM,Last Received Date,Last Count Date,On Order ,Qty Sold Last 12 ,Months No ,24Month Rolling Sale,Overstock vs Understock,PY First ,PY Second ,PY Third ,PY Fourth ,CY First ,CY Second ,CY Third 
SanAntonio,,100733BLK,"BIMINI TOP, FORWARD 8.5 ",A&T,PXX,SHOP,0,0,0,0,0,30.00%,10/31/2025,01/01/1000,10/31/2025,,0,0,10,0,0,0,0,0,0,0,0,0
SanAntonio,,HARDWARE KIT,BIMINI TOP HARDWARE ,A&T,PXX,SHOP,0,0,0,0,0,30.00%,10/31/2025,01/01/1000,10/31/2025,,0,0,10,0,0,0,0,0,0,0,0,0
SanAntonio,,100740BLK,"BIMINI TOP, CONNECTION ",A&T,PXX,SHOP,0,0,0,0,0,30.00%,10/31/2025,01/01/1000,10/31/2025,,0,0,10,0,0,0,0,0,0,0,0,0
SanAntonio,,129460SL,"MATTING, BRUSHED ",A&T,PXX,S/O,0,0,0,0,0,30.00%,5/3/2025,6/28/2025,5/3/2025,,0,0,14,1,0,0,1,0,0,0,0,0
SanAntonio,,120631,BOAT COVER SUPPORT ,A&T,PXX,SHOP,0,0,0,0,0,33.88%,3/2/2026,4/27/2026,3/6/2026,,0,1,4,1,0,0,0,0,0,1,0,0
SanAntonio,,129043,STERN LIGHT 30in DUAL ,A&T,PXX,SHOP,0,0,0,0,0,30.00%,01/01/1000,5/12/2026,5/12/2026,,0,1,0,1,0,0,0,0,0,0,1,0
SanAntonio,,100703,BIMINI FRAME ONLY ,A&T,PXX,SHOP,0,0,0,0,0,30.00%,6/27/2025,01/01/1000,10/31/2025,,0,0,10,0,0,0,0,0,0,0,0,0
SanAntonio,,127091,"LIGHT, STERN LED 20""",A&T,PXX,148,0,0,0,0,0,35.89%,2/16/2026,5/26/2026,5/5/2026,,0,3,3,3,0,0,0,0,0,2,1,0
SanAntonio,,84467,"GRAPHIC, 3 PC ",A&T,PXX,SHOP,0,0,0,0,0,25.92%,2/16/2026,3/11/2026,3/11/2026,,0,1,5,1,0,0,0,0,0,1,0,0
SanAntonio,,BIMINI CANVAS,BIMINI CANVAS FOR 8.5,A&T,PXX,SHOP,0,0,0,0,0,29.69%,01/01/1000,5/12/2026,5/12/2026,,0,2,0,2,0,0,0,0,0,0,2,0
SanAntonio,,BIMINI BOOT,"BIMINI BOOT, FOR 8.5X10 ",A&T,PXX,SHOP,0,0,0,0,0,30.00%,01/01/1000,5/12/2026,5/12/2026,,0,2,0,2,0,0,0,0,0,0,2,0
SanAntonio,,126140,"GAUGE, 5 INCH FORMED  ",A&T,PXX,S/O,0,0,0,0,0,30.00%,5/3/2025,6/23/2025,5/3/2025,,0,0,14,1,0,0,1,0,0,0,0,0
SanAntonio,,0710408A,"MOORING COVER , 25ft ",A&T,PXX,SHOP,0,0,0,0,0,30.00%,01/01/1000,5/12/2026,5/12/2026,,0,1,0,1,0,0,0,0,0,0,1,0
SanAntonio,,80568,"GRAPHIC, REFLEXITE ",A&T,PXX,SHOP,0,0,0,0,0,25%,2/16/2026,3/11/2026,3/11/2026,,0,7,5,7,0,0,0,0,0,7,0,0
SanAntonio,,129539SL,MATTING BRUSHED GREY ,A&T,PXX,114,0,0,0,0,0,30.00%,5/3/2025,6/1/2026,6/1/2026,,0,2,2,3,0,0,1,0,0,0,2,0
SanAntonio,,100718BLK,BIMINI BOOT FORWARD ,A&T,PXX,SHOP,0,0,0,0,0,30.00%,10/31/2025,01/01/1000,10/31/2025,,0,0,10,0,0,0,0,0,0,0,0,0
SanAntonio,,440336S,"WALL, 74""X26"" STAR BOW",A&T,PXX,SHOP,0,0,0,0,0,25.93%,2/16/2026,3/11/2026,3/11/2026,,0,1,5,1,0,0,0,0,0,1,0,0
SanAntonio,,ACC-PORT,FUEL TANK ACESS PORT,ALK,PXX,,0,0,0,0,0,0%,7/22/2024,01/01/1000,,,0,0,25,0,0,0,0,0,0,0,0,0
OceanSprings,,BATTERYSWITCHwarr,Battery Switch,ALK,PXX,,0,0,0,0,0,0%,1/30/2024,1/30/2024,1/30/2024,11/23/2024,0,0,31,0,0,0,0,0,0,0,0,0
Daphne,,US-AKB10208A22,TROLL MOTOR BRACKET ,ALK,PXX,1 CLEARANCE,0,0,0,0,0,23.64%,8/1/2024,7/17/2026,8/1/2024,11/18/2024,0,1,1,1,0,0,0,0,0,0,0,1
OceanSprings,,TROLLING MOTOR MOUNT ,K2 TM MOUNT,ALK,PXX,,0,0,0,0,0,33.33%,12/19/2023,1/9/2024,12/19/2023,11/23/2024,0,0,31,0,0,0,0,0,0,0,0,0
Gulfport,,"6"" HERRESHOFF CLEAT","6"" CLEAT SS",ALK2,ACC,ALK2,0,0,0,0,0,38%,5/20/2025,6/23/2025,5/20/2025,,0,0,14,2,0,0,2,0,0,0,0,0
SanAntonio,,CC399-03,3.5mm RCA CABLE DUAL-,ALT,PXX,WET SOUNDS WALL,0,0,0,0,0,54.43%,01/01/1000,6/26/2026,6/26/2026,,0,3,0,3,0,0,0,0,0,0,3,0
SanAntonio,,35-525-S, 6IN RCA PLUG TO 2 RCA ,ALT,PXX,WET SOUNDS WALL,0,0,0,0,0,50.08%,8/22/2018,6/25/2026,6/25/2026,12/5/2024,0,2,2,2,0,0,0,0,0,0,2,0
SanAntonio,,35-581,3.5MM BARREL ,ALT,PXX,WET SOUNDS WALL,0,0,0,0,0,50.75%,2/21/2022,6/25/2026,6/25/2026,12/5/2024,0,1,2,1,0,0,0,0,0,0,1,0
SanAntonio,,LITIME 36V,"BATTERY, 36V TROLL ",AMA,PXX,BATT CAGE,0,0,0,0,0,20%,12/4/2025,12/10/2025,12/10/2025,,0,1,8,1,0,0,0,0,1,0,0,0
SanAntonio,,ROCKER SWITCH,NILIGHT ROCKER SWITCH ,AMA,PXX,E-2,0,0,0,0,0,30.02%,01/01/1000,3/30/2026,3/30/2026,,0,1,0,1,0,0,0,0,0,1,0,0
SanAntonio,,F-T800,ATTWOOD TSUNAMI ,AMA,PXX,B-2,0,0,0,0,0,40.03%,9/11/2024,9/16/2024,9/16/2024,12/5/2024,0,0,23,0,0,0,0,0,0,0,0,0
SanAntonio,,BATTERY TENDER,BATTERY TENDER DC ,AMA,PXX,E-2,0,0,0,0,0,30%,7/28/2025,6/29/2026,6/29/2026,,0,1,2,2,0,0,0,1,0,0,1,0
SanAntonio,,TRIM TILT TOOL,OUTBOARD TRIM TILT PIN ,AMA,PXX,SHOP,0,0,0,0,0,29.99%,7/18/2025,01/01/1000,8/8/2025,,0,0,12,0,0,0,0,0,0,0,0,0
